"feature","class"
"SM d18:1 N14:1","Sphingomyelins"
"SM d18:1 N14:0","Sphingomyelins"
"SM d18:1 N16:1","Sphingomyelins"
"SM d18:1 N16:0","Sphingomyelins"
"SM d18:1 N18:1","Sphingomyelins"
"SM d18:1 N18:0","Sphingomyelins"
"SM d18:1 N20:0","Sphingomyelins"
"SM d18:1 N24:1","Sphingomyelins"
"SM d18:1 N22:0","Sphingomyelins"
"SM d18:1 N25:1","Sphingomyelins"
"SM d18:1 N23:0","Sphingomyelins"
"SM d18:1 N24:0","Sphingomyelins"
"SM d18:0 N16:0","Sphingomyelins"
"SM d18:0 N17:0","Sphingomyelins"
"Cer d18:1 N16:0","Ceramides"
"Cer d18:1 N18:0","Ceramides"
"Cer d18:1 N22:0","Ceramides"
"Cer d18:1 N23:0","Ceramides"
"Cer d18:1 N24:0","Ceramides"
"Cer d18:1 N25:0","Ceramides"
"Cer d18:1 N26:0","Ceramides"
"sphingosine","Sphingosine"
"sphinganine","Sphinganine"
"S-1-P","Sphingosine"
"S'-1-P","Sphinganine"
"Cer-1-P d18:1 N16:0","Ceramide-1-phosphate"
"monohexsph","Monohexosylceramides"
"monohexcer d18:1 N16:0","Monohexosylceramides"
"monohexcer d18:1 N18:0","Monohexosylceramides"
"monohexcer d18:1 N20:0","Monohexosylceramides"
"monohexcer d18:1 N22:0","Monohexosylceramides"
"monohexcer d18:1 N24:0","Monohexosylceramides"
"monohexcer d18:1 N24:1","Monohexosylceramides"
"dihexcer d18:1 N16:0","Dihexosylceramides"
"dihexcer d18:1 N18:0","Dihexosylceramides"
"dihexcer d18:1 N20:0","Dihexosylceramides"
"dihexcer d18:1 N22:0","Dihexosylceramides"
"dihexcer d18:1 N24:0","Dihexosylceramides"
"dihexcer d18:1 N24:1","Dihexosylceramides"
"trihexcer d18:1 N16:0","Trihexosylceramides"
"trihexcer d18:1 N18:0","Trihexosylceramides"
"trihexcer d18:1 N22:0","Trihexosylceramides"
"trihexcer d18:1 N24:0","Trihexosylceramides"
"OH-monohexcer d18:1 N16:0","Monohydroxylated ceramides"
"OH-monohexcer d18:1 N18:0","Monohydroxylated ceramides"
"OH-monohexcer d18:1 N20:0","Monohydroxylated ceramides"
"OH-monohexcer d18:1 N22:0","Monohydroxylated ceramides"
"OH-monohexcer d18:1 N24:0","Monohydroxylated ceramides"
"OH-dihexcer d18:1 N16:0","Monohydroxylated ceramides"
"OH-dihexcer d18:1 N18:0","Monohydroxylated ceramides"
"sulfa d18:1 N16:0","Sulfatides"
"sulfa d18:1 N20:0","Sulfatides"
"sulfa d18:1 N22:0","Sulfatides"
"GM1 d18:1 N16:0","Gangliosides"
"GM1 d18:1 N18:0","Gangliosides"
"GM1 d18:1 N18:1","Gangliosides"
"GM2 d18:1 N16:0","Gangliosides"
"GM2 d18:1 N18:0","Gangliosides"
"GM3 d18:1 N16:0","Gangliosides"
"GM3 d18:1 N18:0","Gangliosides"
"GM3 d18:1 N18:1","Gangliosides"
"GM3 d18:1 N20:0","Gangliosides"
"GM3 d18:1 N22:0","Gangliosides"
"GD1 d18:1 N16:0","Gangliosides"
"GD1 d18:1 N18:0","Gangliosides"
"GD1 d18:1 N20:0","Gangliosides"
"GD3 d18:1 N18:0","Gangliosides"
"GQ1 d18:1 N18:0","Gangliosides"
"GQ1 d18:1 N20:0","Gangliosides"