"feature","class","structural_category","functional_category","totallength","totaldb"
"C14.0.LPC","LPC","GPL","LYS","14","0"
"C16.1.LPC","LPC","GPL","LYS","16","1"
"C16.0.LPC","LPC","GPL","LYS","16","0"
"C18.2.LPC","LPC","GPL","LYS","18","2"
"C18.1.LPC","LPC","GPL","LYS","18","1"
"C18.0.LPC","LPC","GPL","LYS","20","0"
"C20.4.LPC","LPC","GPL","LYS","20","4"
"C20.3.LPC","LPC","GPL","LYS","22","3"
"C22.6.LPC","LPC","GPL","LYS","16","6"
"C16.0.LPE","LPE","GPL","LYS","18","0"
"C18.1.LPE","LPE","GPL","LYS","18","1"
"C18.0.LPE","LPE","GPL","LYS","18","0"
"C20.4.LPE","LPE","GPL","LYS","20","4"
"C22.6.LPE","LPE","GPL","LYS","22","6"
"C32.2.PC","PC","GPL","MEM","32","2"
"C32.1.PC","PC","GPL","MEM","32","1"
"C32.0.PC","PC","GPL","MEM","32","0"
"C34.4.PC","PC","GPL","MEM","34","4"
"C34.3.PC","PC","GPL","MEM","34","3"
"C34.2.PC","PC","GPL","MEM","34","2"
"C34.1.PC","PC","GPL","MEM","34","1"
"C36.4.PC.A","PC","GPL","MEM","36","4"
"C36.4.PC.B","PC","GPL","MEM","36","4"
"C36.3.PC","PC","GPL","MEM","36","3"
"C36.2.PC","PC","GPL","MEM","36","2"
"C36.1.PC","PC","GPL","MEM","36","1"
"C38.6.PC","PC","GPL","MEM","38","6"
"C38.5.PC","PC","GPL","MEM","38","5"
"C38.4.PC","PC","GPL","MEM","38","4"
"C38.2.PC","PC","GPL","MEM","38","2"
"C40.6.PC","PC","GPL","MEM","40","6"
"C14.0.SM","SM","SL","MEM","14","0"
"C16.1.SM","SM","SL","MEM","16","1"
"C16.0.SM","SM","SL","MEM","16","0"
"C18.2.SM","SM","SL","MEM","18","2"
"C18.1.SM","SM","SL","MEM","18","1"
"C18.0.SM","SM","SL","MEM","18","0"
"C22.1.SM","SM","SL","MEM","22","1"
"C22.0.SM","SM","SL","MEM","22","0"
"C24.1.SM","SM","SL","MEM","24","1"
"C24.0.SM","SM","SL","MEM","24","0"
"C34.2.DAG","DAG","GL","MEM","34","2"
"C34.1.DAG","DAG","GL","MEM","34","1"
"C36.2.DAG","DAG","GL","MEM","36","2"
"C36.1.DAG","DAG","GL","MEM","36","1"
"C14.0.CE","CE","STE","STO","14","0"
"C16.1.CE","CE","STE","STO","16","1"
"C16.0.CE","CE","STE","STO","16","0"
"C18.3.CE","CE","STE","STO","18","3"
"C18.2.CE","CE","STE","STO","18","2"
"C18.1.CE","CE","STE","STO","18","1"
"C18.0.CE","CE","STE","STO","18","0"
"C20.5.CE","CE","STE","STO","20","5"
"C20.4.CE","CE","STE","STO","20","4"
"C20.3.CE","CE","STE","STO","20","3"
"C22.6.CE","CE","STE","STO","22","6"
"C46.2.TAG","TAG","GL","STO","46","2"
"C46.1.TAG","TAG","GL","STO","46","1"
"C46.0.TAG","TAG","GL","STO","46","0"
"C48.3.TAG","TAG","GL","STO","48","3"
"C48.2.TAG","TAG","GL","STO","48","2"
"C48.1.TAG","TAG","GL","STO","48","1"
"C48.0.TAG","TAG","GL","STO","48","0"
"C50.3.TAG","TAG","GL","STO","50","3"
"C50.2.TAG","TAG","GL","STO","50","2"
"C50.1.TAG","TAG","GL","STO","50","1"
"C50.0.TAG","TAG","GL","STO","50","0"
"C52.5.TAG","TAG","GL","STO","52","5"
"C52.4.TAG","TAG","GL","STO","52","4"
"C52.3.TAG","TAG","GL","STO","52","3"
"C52.2.TAG","TAG","GL","STO","52","2"
"C52.1.TAG","TAG","GL","STO","52","1"
"C54.7.TAG","TAG","GL","STO","54","7"
"C54.6.TAG","TAG","GL","STO","54","6"
"C54.5.TAG","TAG","GL","STO","54","5"
"C54.4.TAG","TAG","GL","STO","54","4"
"C54.3.TAG","TAG","GL","STO","54","3"
"C54.2.TAG","TAG","GL","STO","54","2"
"C54.1.TAG","TAG","GL","STO","54","1"
"C56.8.TAG","TAG","GL","STO","56","8"
"C56.7.TAG","TAG","GL","STO","56","7"
"C56.6.TAG","TAG","GL","STO","56","6"
"C56.5.TAG","TAG","GL","STO","56","5"
"C56.4.TAG","TAG","GL","STO","56","4"
"C56.3.TAG","TAG","GL","STO","56","3"
"C56.2.TAG","TAG","GL","STO","56","2"
"C58.8.TAG","TAG","GL","STO","58","8"
"C58.7.TAG","TAG","GL","STO","58","7"
"C58.6.TAG","TAG","GL","STO","58","6"